Maquina,Rodada,Date,Time,Origem_Arquivo,Relógios núcleo (avg) [MHz],Relógios efetivos núcleo (avg) [MHz],Uso total da CPU [%],Carga do núcleo da GPU [%],CPU Inteira [°C],CPU Inteira [°C].1,Núcleo máximo [°C],Estrangulamento térmico do núcleo (avg) [Yes/Não],Distância do núcleo para TjMAX (avg) [°C],Potência total da CPU [W],IA: Package-Level RAPL/PBM PL1 [Yes/Não],IA: Package-Level RAPL/PBM PL2 PL3 [Yes/Não],Limite de desempenho - Térmico [Yes/Não],Relógio da memória [MHz],Taxa de leituras [MB/s],Taxa de gravações [MB/s],Potência das linhas GPU (avg) [W],GPU Clock [MHz].1,GPU Clock [MHz],Limite térmico da GPU [°C]
Máquina A,1,21.6.2026,17:31:29.359,maqA_rodada_01.CSV,1409.1,112.7,10.5,0.0,44,44,44,Não,58,8.658,Não,Não,,2593.7,0.032,0.112,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:30.367,maqA_rodada_01.CSV,1471.4,57.2,12.8,0.0,44,44,44,Não,58,6.525,Não,Não,,2593.7,0.06,0.013,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:31.357,maqA_rodada_01.CSV,1446.5,62.6,10.7,0.0,44,44,43,Não,58,5.391,Não,Não,,2593.7,0.0,0.729,0.0,0.0,300.0,0.0
Máquina A,1,21.6.2026,17:31:32.362,maqA_rodada_01.CSV,1396.6,59.5,13.9,0.0,44,44,43,Não,58,5.403,Não,Não,,2593.7,0.262,0.0,0.0,0.0,300.0,0.0
Máquina A,2,21.6.2026,17:42:49.516,maqA_rodada_02.CSV,2992.7,175.3,10.9,0.0,51,47,50,Não,53,6.773,Não,Não,Sim,2593.7,8.012,0.577,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:42:50.529,maqA_rodada_02.CSV,3503.9,147.2,11.9,0.0,48,47,48,Não,54,6.773,Não,Não,Sim,2593.7,6.645,0.429,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:42:51.537,maqA_rodada_02.CSV,2606.1,250.6,12.3,0.0,51,58,51,Não,51,7.364,Não,Não,Sim,2593.7,2.348,0.406,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:42:52.527,maqA_rodada_02.CSV,3466.5,350.3,10.9,0.0,53,52,67,Não,48,10.397,Não,Não,Sim,2593.7,23.626,0.06,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:42:53.542,maqA_rodada_02.CSV,2507.0,505.5,16.9,0.0,54,48,55,Não,52,10.169,Não,Não,Sim,2594.3,34.193,0.834,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:42:54.566,maqA_rodada_02.CSV,2880.5,626.1,20.6,0.0,73,74,73,Não,43,17.441,Não,Não,Sim,2593.7,0.783,0.411,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:42:55.576,maqA_rodada_02.CSV,2493.9,880.2,21.0,0.0,73,73,74,Não,47,21.081,Não,Não,Sim,2593.7,0.0,0.0,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:42:56.580,maqA_rodada_02.CSV,1957.7,462.3,12.7,0.0,61,57,61,Não,50,24.236,Não,Não,Sim,2593.7,89.26,0.045,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:42:57.583,maqA_rodada_02.CSV,2306.9,471.6,16.4,0.0,62,55,62,Não,48,14.985,Não,Não,Sim,2593.7,2.22,6.304,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:42:58.576,maqA_rodada_02.CSV,2269.4,478.8,14.3,0.0,64,63,65,Não,48,17.835,Não,Não,Sim,2593.7,0.48,0.109,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:42:59.583,maqA_rodada_02.CSV,2232.0,551.3,24.4,0.0,68,66,68,Não,48,17.484,Não,Não,Sim,2593.7,0.458,0.022,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:0.585,maqA_rodada_02.CSV,2730.8,514.8,24.8,0.0,63,63,65,Não,48,20.633,Não,Não,Sim,2593.7,0.454,0.285,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:1.601,maqA_rodada_02.CSV,2119.8,475.3,17.2,0.0,62,66,62,Não,49,20.252,Não,Não,Sim,2593.7,0.398,0.071,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:2.592,maqA_rodada_02.CSV,2680.9,440.5,14.0,0.0,69,70,70,Não,48,19.819,Não,Não,Sim,2593.7,0.148,0.049,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:3.615,maqA_rodada_02.CSV,2007.6,423.7,11.9,0.0,64,64,63,Não,47,16.927,Não,Não,Sim,2593.7,0.0,0.115,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:4.619,maqA_rodada_02.CSV,3341.8,413.8,14.3,0.0,63,64,64,Não,47,17.246,Não,Não,Sim,2593.7,0.735,0.077,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:5.605,maqA_rodada_02.CSV,2793.2,405.3,12.9,0.0,62,67,62,Não,49,15.178,Não,Não,Sim,2593.7,0.016,0.038,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:6.620,maqA_rodada_02.CSV,2730.8,413.5,11.8,0.0,65,67,65,Não,48,15.45,Não,Não,Sim,2593.7,0.0,0.0,5.763,0.0,99.8,0.0
Máquina A,2,21.6.2026,17:43:7.614,maqA_rodada_02.CSV,1234.5,111.2,8.4,0.0,48,48,47,Não,54,16.963,Não,Não,Sim,2593.7,0.105,0.109,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:8.618,maqA_rodada_02.CSV,1259.4,53.1,4.7,0.0,48,48,47,Não,54,6.106,Não,Não,Sim,2593.7,2.826,0.099,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:9.619,maqA_rodada_02.CSV,1259.4,42.4,3.5,0.0,46,48,47,Não,55,4.622,Não,Não,Sim,2593.7,0.364,0.021,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:10.614,maqA_rodada_02.CSV,1035.0,35.1,8.1,0.0,48,48,46,Não,55,4.294,Não,Não,Sim,2593.7,0.0,0.0,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:11.607,maqA_rodada_02.CSV,1097.3,44.0,3.7,0.0,46,46,46,Não,55,3.706,Não,Não,Sim,2593.7,0.016,0.102,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:12.613,maqA_rodada_02.CSV,2020.1,383.3,12.7,0.0,56,61,53,Não,52,4.51,Não,Não,Sim,2593.7,31.475,0.037,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:13.616,maqA_rodada_02.CSV,2606.1,486.0,16.8,0.0,59,59,59,Não,50,13.409,Não,Não,Sim,2593.7,0.0,0.015,5.763,0.0,99.8,0.0
Máquina A,2,21.6.2026,17:43:14.618,maqA_rodada_02.CSV,2568.7,476.9,16.3,0.0,60,59,60,Não,48,17.168,Não,Não,Sim,2593.7,1.433,0.0,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:15.623,maqA_rodada_02.CSV,2369.2,426.5,17.5,0.0,59,58,58,Não,49,16.758,Não,Não,Sim,2593.7,1.959,0.013,5.763,0.0,350.0,0.0
Máquina A,2,21.6.2026,17:43:16.642,maqA_rodada_02.CSV,2493.9,415.9,11.0,0.0,60,58,60,Não,49,13.758,Não,Não,Sim,2593.7,0.131,0.004,5.763,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:8.510,maqA_rodada_03.CSV,1296.8,71.7,5.7,0.0,44,43,42,Não,59,4.423,Não,Não,Não,2593.7,0.117,22.677,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:9.517,maqA_rodada_03.CSV,3179.7,240.9,18.0,0.0,44,44,43,Não,58,4.743,Não,Não,Não,2593.7,4.489,0.689,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:10.511,maqA_rodada_03.CSV,2868.0,216.6,9.9,0.0,50,45,51,Não,54,8.474,Não,Não,Não,2593.7,1.24,0.202,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:11.538,maqA_rodada_03.CSV,3179.7,564.1,16.7,0.0,48,53,50,Não,56,8.968,Não,Não,Não,2593.7,18.385,0.121,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:12.541,maqA_rodada_03.CSV,1122.3,251.2,13.1,0.0,44,44,41,Não,59,15.936,Não,Não,Não,2593.7,0.07,0.505,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:13.538,maqA_rodada_03.CSV,1471.4,100.2,7.7,0.0,44,44,42,Não,59,9.743,Não,Não,Não,2593.7,1.734,0.375,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:14.529,maqA_rodada_03.CSV,3242.1,494.9,15.5,0.0,50,51,50,Não,56,5.618,Não,Não,Não,2593.7,1.269,0.344,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:15.532,maqA_rodada_03.CSV,2805.6,411.7,13.7,0.0,52,48,52,Não,56,13.406,Não,Não,Não,2593.7,0.0,0.0,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:16.555,maqA_rodada_03.CSV,3104.9,543.4,20.4,0.0,62,61,50,Não,53,11.321,Não,Não,Não,2593.7,79.194,0.098,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:17.545,maqA_rodada_03.CSV,2132.3,486.4,14.8,0.0,61,53,56,Não,53,20.06,Não,Não,Não,2593.7,0.325,0.007,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:18.565,maqA_rodada_03.CSV,1795.6,425.5,11.8,0.0,56,57,51,Não,54,19.363,Não,Não,Não,2593.7,0.142,0.162,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:19.588,maqA_rodada_03.CSV,2020.1,429.3,13.8,0.0,63,53,63,Não,50,18.086,Não,Não,Não,2593.7,2.208,0.004,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:20.576,maqA_rodada_03.CSV,1895.4,424.4,14.2,0.0,50,59,50,Não,54,17.969,Não,Não,Não,2593.7,0.065,0.117,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:21.599,maqA_rodada_03.CSV,2967.7,428.4,10.9,0.0,58,64,56,Não,54,16.968,Não,Não,Não,2593.7,0.016,0.074,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:22.589,maqA_rodada_03.CSV,1870.4,419.6,14.3,0.0,62,65,61,Não,53,17.255,Não,Não,Não,2593.7,0.065,0.008,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:23.612,maqA_rodada_03.CSV,2793.2,416.3,11.6,0.0,60,67,60,Não,52,16.483,Não,Não,Não,2593.7,0.032,0.023,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:24.620,maqA_rodada_03.CSV,2381.7,428.7,11.8,0.0,58,61,53,Não,54,16.734,Não,Não,Não,2593.7,1.056,0.005,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:25.628,maqA_rodada_03.CSV,2731.5,422.0,11.3,0.0,59,66,59,Não,53,16.133,Não,Não,Não,2594.3,0.065,0.008,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:26.637,maqA_rodada_03.CSV,1533.7,115.5,7.3,0.0,45,45,44,Não,57,16.733,Não,Não,Não,2593.7,0.233,0.0,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:27.631,maqA_rodada_03.CSV,1334.2,47.3,3.6,0.0,45,45,43,Não,58,6.86,Não,Não,Não,2593.7,0.036,0.002,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:28.623,maqA_rodada_03.CSV,1022.5,54.4,5.5,0.0,45,44,44,Não,57,4.425,Não,Não,Não,2593.7,0.0,0.135,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:29.632,maqA_rodada_03.CSV,1059.9,39.1,5.2,0.0,45,44,43,Não,58,4.441,Não,Não,Não,2593.7,0.0,0.015,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:30.623,maqA_rodada_03.CSV,1347.0,41.3,3.7,0.0,45,44,43,Não,58,4.109,Não,Não,Não,2594.3,0.33,0.0,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:31.638,maqA_rodada_03.CSV,3678.5,368.6,12.9,0.0,50,61,50,Não,54,4.273,Não,Não,Não,2593.7,30.752,0.004,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:32.639,maqA_rodada_03.CSV,2456.5,432.0,12.9,0.0,59,57,59,Não,54,13.845,Não,Não,Não,2593.7,0.0,0.004,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:33.657,maqA_rodada_03.CSV,2606.1,440.4,11.1,0.0,59,58,59,Não,54,15.102,Não,Não,Não,2593.7,1.064,0.009,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:34.660,maqA_rodada_03.CSV,2905.4,433.3,12.1,0.0,55,50,55,Não,53,15.468,Não,Não,Não,2593.7,0.0,0.0,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:35.651,maqA_rodada_03.CSV,2755.8,427.1,13.8,0.0,59,60,59,Não,53,15.279,Não,Não,Não,2593.7,1.845,0.011,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:36.657,maqA_rodada_03.CSV,2755.8,427.1,13.8,0.0,59,68,59,Não,53,14.634,Não,Não,Não,2593.7,1.845,0.011,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:37.656,maqA_rodada_03.CSV,3341.8,698.7,20.2,0.0,68,68,69,Não,47,18.055,Não,Não,Não,2593.7,0.0,0.007,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:38.655,maqA_rodada_03.CSV,2406.6,756.7,18.4,0.0,57,69,57,Não,53,26.941,Não,Não,Não,2593.7,0.345,0.096,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:39.654,maqA_rodada_03.CSV,2481.4,424.5,11.7,0.0,60,59,59,Não,52,25.128,Não,Não,Não,2593.7,0.0,0.018,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:40.674,maqA_rodada_03.CSV,2818.1,419.3,10.8,0.0,56,56,53,Não,54,13.929,Não,Não,Não,2593.7,0.0,0.005,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:41.680,maqA_rodada_03.CSV,1409.1,64.8,5.4,0.0,45,44,43,Não,57,14.197,Não,Não,Não,2593.7,0.0,0.0,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:42.675,maqA_rodada_03.CSV,1072.4,58.5,6.6,0.0,45,45,44,Não,58,5.084,Não,Não,Não,2593.7,0.064,0.015,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:43.696,maqA_rodada_03.CSV,1434.0,52.0,3.5,0.0,45,45,43,Não,58,4.354,Não,Não,Não,2593.7,0.081,0.078,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:44.690,maqA_rodada_03.CSV,1458.9,40.3,3.7,0.0,44,44,43,Não,58,4.936,Não,Não,Não,2593.7,0.0,0.015,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:45.686,maqA_rodada_03.CSV,1022.5,42.6,6.8,0.0,44,45,43,Não,58,4.308,Não,Não,Não,2593.7,1.333,0.0,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:46.692,maqA_rodada_03.CSV,3267.0,410.0,10.5,0.0,62,57,62,Não,53,4.252,Não,Não,Não,2593.7,8.151,0.005,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:47.700,maqA_rodada_03.CSV,1072.4,80.5,4.1,0.0,44,44,43,Não,58,16.104,Não,Não,Não,2593.7,0.056,0.012,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:48.713,maqA_rodada_03.CSV,1122.3,41.3,6.4,0.0,44,44,43,Não,58,5.554,Não,Não,Não,2593.7,0.251,0.087,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:49.706,maqA_rodada_03.CSV,1010.0,39.9,3.2,0.0,44,44,43,Não,58,4.46,Não,Não,Não,2593.7,0.064,0.0,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:50.713,maqA_rodada_03.CSV,1271.9,46.0,5.0,0.0,45,45,43,Não,58,4.472,Não,Não,Não,2593.7,0.028,0.004,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:51.706,maqA_rodada_03.CSV,1172.1,42.3,3.7,0.0,44,44,43,Não,58,3.971,Não,Não,Não,2593.7,0.0,0.007,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:52.707,maqA_rodada_03.CSV,2431.6,397.9,12.7,0.0,53,62,53,Não,55,4.301,Não,Não,Não,2593.7,5.991,0.021,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:53.710,maqA_rodada_03.CSV,3217.1,436.0,11.0,0.0,68,65,68,Não,50,14.8,Não,Não,Não,2593.7,0.0,0.084,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:54.714,maqA_rodada_03.CSV,3117.4,417.6,13.0,0.0,63,60,58,Não,54,16.234,Não,Não,Não,2593.7,0.0,0.002,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:55.731,maqA_rodada_03.CSV,1059.9,300.0,9.1,0.0,44,45,43,Não,58,13.884,Não,Não,Não,2593.7,0.02,0.006,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:56.724,maqA_rodada_03.CSV,1072.4,51.0,3.7,0.0,44,44,43,Não,58,12.756,Não,Não,Não,2593.7,0.142,0.003,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:57.733,maqA_rodada_03.CSV,972.6,60.6,7.7,0.0,44,44,42,Não,58,4.711,Não,Não,Não,2593.7,0.329,0.0,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:52:58.725,maqA_rodada_03.CSV,1022.5,46.3,3.0,0.0,44,44,43,Não,58,4.636,Não,Não,Não,2593.7,0.081,0.057,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:52:59.736,maqA_rodada_03.CSV,1022.5,55.1,5.7,0.0,44,44,43,Não,58,4.458,Não,Não,Não,2593.7,0.0,0.004,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:0.744,maqA_rodada_03.CSV,2493.9,223.9,7.1,0.0,66,57,66,Não,53,4.472,Não,Não,Não,2593.7,39.248,0.055,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:1.731,maqA_rodada_03.CSV,3092.4,440.2,12.4,0.0,66,60,61,Não,53,9.874,Não,Não,Não,2593.7,0.277,22.241,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:2.735,maqA_rodada_03.CSV,2892.9,461.2,14.1,0.0,61,72,58,Não,52,18.149,Não,Não,Não,2593.7,0.529,0.229,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:3.751,maqA_rodada_03.CSV,2793.2,427.6,10.9,0.0,67,58,67,Não,50,18.3,Não,Não,Não,2593.7,0.016,0.093,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:4.754,maqA_rodada_03.CSV,1496.3,231.9,6.5,0.0,44,45,43,Não,58,16.661,Não,Não,Não,2593.7,0.57,0.007,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:5.778,maqA_rodada_03.CSV,1035.0,40.4,4.1,0.0,44,45,43,Não,58,10.566,Não,Não,Não,2593.7,0.056,0.0,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:6.789,maqA_rodada_03.CSV,1147.2,43.2,3.3,0.0,45,44,43,Não,58,4.506,Não,Não,Não,2593.7,0.0,0.004,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:7.791,maqA_rodada_03.CSV,1222.0,44.8,5.6,0.0,45,44,43,Não,58,4.087,Não,Não,Não,2593.7,0.0,0.005,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:8.792,maqA_rodada_03.CSV,1222.0,44.8,5.6,0.0,45,68,43,Não,58,4.065,Não,Não,Não,2593.7,0.0,0.005,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:9.809,maqA_rodada_03.CSV,3616.2,600.4,15.0,0.0,65,68,66,Não,48,7.702,Não,Não,Não,2593.7,0.0,0.0,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:10.829,maqA_rodada_03.CSV,3329.4,738.4,17.7,0.0,63,65,63,Não,53,22.826,Não,Não,Não,2593.7,0.016,0.01,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:11.838,maqA_rodada_03.CSV,3092.4,408.5,11.1,0.0,61,63,61,Não,54,24.798,Não,Não,Não,2593.7,0.0,0.023,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:12.837,maqA_rodada_03.CSV,2780.7,410.4,12.7,0.0,65,63,63,Não,53,15.835,Não,Não,Não,2593.7,1.35,0.0,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:13.849,maqA_rodada_03.CSV,1072.4,85.6,5.6,0.0,45,45,43,Não,58,17.631,Não,Não,Não,2593.7,0.032,0.178,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:14.857,maqA_rodada_03.CSV,1022.5,39.4,5.8,0.0,44,44,43,Não,58,5.804,Não,Não,Não,2593.7,0.089,0.005,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:15.854,maqA_rodada_03.CSV,1047.4,45.5,3.2,0.0,44,44,43,Não,58,4.414,Não,Não,Não,2593.7,0.397,0.002,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:16.852,maqA_rodada_03.CSV,1159.7,46.6,6.5,0.0,45,45,43,Não,58,4.495,Não,Não,Não,2593.7,0.084,0.0,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:17.853,maqA_rodada_03.CSV,1035.0,46.5,4.5,0.0,44,44,43,Não,58,4.308,Não,Não,Não,2593.7,0.195,0.004,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:18.841,maqA_rodada_03.CSV,2868.0,393.7,10.2,0.0,66,69,63,Não,52,4.592,Não,Não,Não,2593.7,22.537,0.011,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:19.848,maqA_rodada_03.CSV,3167.3,409.2,10.6,0.0,69,64,69,Não,52,16.786,Não,Não,Não,2593.7,0.032,0.005,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:20.869,maqA_rodada_03.CSV,2755.8,413.5,10.5,0.0,63,62,63,Não,51,15.009,Não,Não,Não,2593.7,0.0,0.0,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:21.861,maqA_rodada_03.CSV,3691.0,412.1,14.7,0.0,61,66,61,Não,52,17.925,Não,Não,Não,2593.7,0.0,0.003,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:22.864,maqA_rodada_03.CSV,2855.5,413.7,10.0,0.0,69,69,69,Não,53,16.823,Não,Não,Não,2593.7,0.191,0.022,2.292,0.0,350.0,0.0
Máquina A,3,21.6.2026,17:53:23.882,maqA_rodada_03.CSV,1072.4,211.0,6.4,0.0,45,45,44,Não,57,17.547,Não,Não,Não,2593.7,0.016,0.088,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:24.883,maqA_rodada_03.CSV,1458.9,73.1,10.9,0.0,45,45,44,Não,57,10.207,Não,Não,Não,2593.7,1.246,0.064,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:25.888,maqA_rodada_03.CSV,1022.5,54.0,3.4,0.0,45,45,43,Não,58,4.601,Não,Não,Não,2593.7,1.54,0.082,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:26.882,maqA_rodada_03.CSV,1359.2,47.4,4.9,0.0,45,45,44,Não,58,4.877,Não,Não,Não,2593.7,0.048,0.179,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:27.895,maqA_rodada_03.CSV,1022.5,44.8,6.3,0.0,45,45,43,Não,58,4.705,Não,Não,Não,2593.7,0.146,0.018,2.292,0.0,300.0,0.0
Máquina A,3,21.6.2026,17:53:28.905,maqA_rodada_03.CSV,2718.4,245.5,8.3,0.0,63,61,57,Não,53,4.218,Não,Não,Não,2593.7,12.732,0.089,2.292,0.0,300.0,0.0
